model,interface,task_id,family,difficulty,runs,pass_rate,cell_label,parse_failure_rate,premature_final_rate,loop_timeout_rate,policy_state_rate,avg_steps,avg_latency_sec,failure_subtypes
qwen2.5:7b,raw_json,inventory_medium_02,inventory,medium,5,0.000,too_hard,0.000,0.000,1.000,0.000,8.00,19.92,"{""loop_or_timeout"": 5}"
qwen2.5:7b,raw_json,inventory_medium_03,inventory,medium,5,0.000,too_hard,0.000,0.000,1.000,0.000,8.00,19.97,"{""loop_or_timeout"": 5}"
qwen2.5:7b,raw_json,inventory_medium_04,inventory,medium,5,0.000,too_hard,0.000,0.000,1.000,0.000,8.00,19.94,"{""loop_or_timeout"": 5}"
qwen2.5:7b,raw_json,inventory_hard_00,inventory,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.06,{}
qwen2.5:7b,raw_json,inventory_hard_01,inventory,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.07,{}
qwen2.5:7b,raw_json,inventory_hard_02,inventory,hard,5,0.600,calibrated,0.000,0.000,0.400,0.000,6.00,14.91,"{""loop_or_timeout"": 2}"
qwen2.5:7b,raw_json,inventory_hard_03,inventory,hard,5,0.600,calibrated,0.000,0.000,0.400,0.000,6.00,14.95,"{""loop_or_timeout"": 2}"
qwen2.5:7b,raw_json,inventory_hard_04,inventory,hard,5,0.800,calibrated,0.000,0.000,0.200,0.000,4.00,9.99,"{""loop_or_timeout"": 1}"
qwen2.5:7b,json_parse_repair,calendar_medium_00,calendar,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.41,{}
qwen2.5:7b,json_parse_repair,calendar_medium_01,calendar,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.40,{}
qwen2.5:7b,json_parse_repair,calendar_medium_02,calendar,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.42,{}
qwen2.5:7b,json_parse_repair,calendar_medium_03,calendar,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.39,{}
qwen2.5:7b,json_parse_repair,calendar_medium_04,calendar,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.39,{}
qwen2.5:7b,json_parse_repair,calendar_hard_00,calendar,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,4.00,10.42,{}
qwen2.5:7b,json_parse_repair,calendar_hard_01,calendar,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,4.00,10.38,{}
qwen2.5:7b,json_parse_repair,calendar_hard_02,calendar,hard,5,0.600,calibrated,0.000,0.200,0.200,0.000,7.20,18.74,"{""loop_or_timeout"": 1, ""premature_final"": 1}"
qwen2.5:7b,json_parse_repair,calendar_hard_03,calendar,hard,5,0.600,calibrated,0.000,0.000,0.400,0.000,7.40,19.26,"{""loop_or_timeout"": 2}"
qwen2.5:7b,json_parse_repair,calendar_hard_04,calendar,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,4.00,10.41,{}
qwen2.5:7b,json_parse_repair,refund_medium_00,refund,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.64,{}
qwen2.5:7b,json_parse_repair,refund_medium_01,refund,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.62,{}
qwen2.5:7b,json_parse_repair,refund_medium_02,refund,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.66,{}
qwen2.5:7b,json_parse_repair,refund_medium_03,refund,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.62,{}
qwen2.5:7b,json_parse_repair,refund_medium_04,refund,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,3.00,7.62,{}
qwen2.5:7b,json_parse_repair,refund_hard_00,refund,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.02,{}
qwen2.5:7b,json_parse_repair,refund_hard_01,refund,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.02,{}
qwen2.5:7b,json_parse_repair,refund_hard_02,refund,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.05,{}
qwen2.5:7b,json_parse_repair,refund_hard_03,refund,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.02,{}
qwen2.5:7b,json_parse_repair,refund_hard_04,refund,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.02,{}
qwen2.5:7b,json_parse_repair,file_medium_00,file_email,medium,5,0.000,too_hard,0.000,0.800,0.200,0.000,5.60,14.43,"{""loop_or_timeout"": 1, ""premature_final"": 4}"
qwen2.5:7b,json_parse_repair,file_medium_01,file_email,medium,5,0.000,too_hard,0.000,1.000,0.000,0.000,5.00,12.90,"{""premature_final"": 5}"
qwen2.5:7b,json_parse_repair,file_medium_02,file_email,medium,5,0.000,too_hard,0.000,1.000,0.000,0.000,5.00,12.94,"{""premature_final"": 5}"
qwen2.5:7b,json_parse_repair,file_medium_03,file_email,medium,5,0.000,too_hard,0.000,1.000,0.000,0.000,5.00,13.01,"{""premature_final"": 5}"
qwen2.5:7b,json_parse_repair,file_medium_04,file_email,medium,5,0.200,calibrated,0.000,0.800,0.000,0.000,4.60,12.03,"{""premature_final"": 4}"
qwen2.5:7b,json_parse_repair,file_hard_00,file_email,hard,5,0.000,too_hard,0.000,0.400,0.600,0.000,8.80,22.07,"{""loop_or_timeout"": 3, ""premature_final"": 2}"
qwen2.5:7b,json_parse_repair,file_hard_01,file_email,hard,5,0.000,too_hard,0.000,0.200,0.800,0.000,10.20,25.47,"{""loop_or_timeout"": 4, ""premature_final"": 1}"
qwen2.5:7b,json_parse_repair,file_hard_02,file_email,hard,5,0.000,too_hard,0.000,0.200,0.800,0.000,10.20,27.61,"{""loop_or_timeout"": 4, ""premature_final"": 1}"
qwen2.5:7b,json_parse_repair,file_hard_03,file_email,hard,5,0.000,too_hard,0.000,0.400,0.600,0.000,8.40,23.77,"{""loop_or_timeout"": 3, ""premature_final"": 2}"
qwen2.5:7b,json_parse_repair,file_hard_04,file_email,hard,5,0.000,too_hard,0.000,0.600,0.400,0.000,6.60,18.61,"{""loop_or_timeout"": 2, ""premature_final"": 3}"
qwen2.5:7b,json_parse_repair,inventory_medium_00,inventory,medium,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.87,{}
qwen2.5:7b,json_parse_repair,inventory_medium_01,inventory,medium,5,0.800,calibrated,0.000,0.000,0.200,0.000,5.20,15.38,"{""loop_or_timeout"": 1}"
qwen2.5:7b,json_parse_repair,inventory_medium_02,inventory,medium,5,0.000,too_hard,0.000,0.000,1.000,0.000,8.00,23.17,"{""loop_or_timeout"": 5}"
qwen2.5:7b,json_parse_repair,inventory_medium_03,inventory,medium,5,0.000,too_hard,0.000,0.000,1.000,0.000,8.00,23.62,"{""loop_or_timeout"": 5}"
qwen2.5:7b,json_parse_repair,inventory_medium_04,inventory,medium,5,0.000,too_hard,0.000,0.000,1.000,0.000,8.00,23.55,"{""loop_or_timeout"": 5}"
qwen2.5:7b,json_parse_repair,inventory_hard_00,inventory,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.91,{}
qwen2.5:7b,json_parse_repair,inventory_hard_01,inventory,hard,5,1.000,too_easy,0.000,0.000,0.000,0.000,2.00,5.75,{}
qwen2.5:7b,json_parse_repair,inventory_hard_02,inventory,hard,5,0.800,calibrated,0.000,0.000,0.200,0.000,4.00,11.83,"{""loop_or_timeout"": 1}"
qwen2.5:7b,json_parse_repair,inventory_hard_03,inventory,hard,5,0.400,calibrated,0.000,0.000,0.600,0.000,8.00,23.60,"{""loop_or_timeout"": 3}"
qwen2.5:7b,json_parse_repair,inventory_hard_04,inventory,hard,5,0.600,calibrated,0.000,0.000,0.400,0.000,6.00,17.80,"{""loop_or_timeout"": 2}"
llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,4.50,13.02,{}
llama3.1:8b,tool_compiler,calendar_medium_01,calendar,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,5.00,12.91,{}
llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,2,0.000,too_hard,0.000,0.000,1.000,0.000,12.00,29.09,"{""loop_or_timeout"": 2}"
llama3.1:8b,tool_compiler,calendar_hard_01,calendar,hard,2,0.000,too_hard,0.000,0.000,1.000,0.000,12.00,29.39,"{""loop_or_timeout"": 2}"
llama3.1:8b,tool_compiler,refund_medium_00,refund,medium,2,1.000,too_easy,0.000,0.000,0.000,0.000,4.00,9.84,{}
